/Users/z5241339/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-12-17 11:42:58,889 - INFO - 读取数据文件: engineering_staff_full.json
2025-12-17 11:42:58,892 - INFO - 共有 649 位教职员工
2025-12-17 11:42:58,892 - INFO - [1/649] 爬取: Dr Shiva Abdoli
2025-12-17 11:42:58,964 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/shiva-abdoli
2025-12-17 11:43:00,966 - INFO - [2/649] 爬取: Mr Zubair Abdullah-Vetter
2025-12-17 11:43:01,023 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/zubair-abdullah-vetter
2025-12-17 11:43:03,028 - INFO - [3/649] 爬取: Professor Elias Aboutanios
2025-12-17 11:43:03,132 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/elias-aboutanios
2025-12-17 11:43:05,136 - INFO - [4/649] 爬取: Dr Othman Abu Laban
2025-12-17 11:43:05,183 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/othman-abu-laban
2025-12-17 11:43:07,188 - INFO - [5/649] 爬取: Emeritus Professor Ian Acworth
2025-12-17 11:43:07,325 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/ian-acworth
2025-12-17 11:43:09,331 - INFO - [6/649] 爬取: Dr Vipul Agarwal
2025-12-17 11:43:09,423 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/vipul-agarwal
2025-12-17 11:43:11,428 - INFO - [7/649] 爬取: Associate Professor Beena Ahmed
2025-12-17 11:43:11,543 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/beena-ahmed
2025-12-17 11:43:13,548 - INFO - [8/649] 爬取: Dr Xiaoyu Ai
2025-12-17 11:43:13,959 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/xiaoyu-ai
2025-12-17 11:43:15,965 - INFO - [9/649] 爬取: Mrs Sharareh Akbarian
2025-12-17 11:43:16,031 - INFO - ✓ 成功爬取: https://www.unsw.edu.au/staff/sharareh-akbarian
